Date,Spot Price,r,Strike Price,V,Delta,B,HE,PNL,HE_individual
2011-07-05,532.44,0.0019,500,44.2,0.259686,-340.57,0,0,0
2011-07-06,535.36,0.0019,500,46.9,0.269337,-346.281,-0.592419,2.7,-0.592419
2011-07-07,546.6,0.002,500,55.3,0.269861,-375.941,-0.752537,11.1,-0.160118
2011-07-08,531.99,0.0017,500,43.95,0.268563,-339.673,-0.912002,-0.25,-0.159465
2011-07-11,527.28,0.0017,500,41,0.27595,-324.972,-1.35265,-3.2,-0.440646
2011-07-12,534.01,0.0018,500,46.4,0.286787,-341.666,-2.10098,2.2,-0.748333
2011-07-13,538.26,0.0016,500,49.3,0.287137,-353.666,-1.93166,5.1,0.169321
2011-07-14,528.94,0.0015,500,41.15,0.272178,-333.487,-0.72783,-3.05,1.20383
2011-07-15,597.62,0.0015,500,99.65,0.28149,-473.238,-10.6797,55.45,-9.95187
2011-07-18,594.94,0.0015,500,97.65,0.300413,-464.732,-11.2037,53.45,-0.524013
2011-07-19,602.55,0.0017,500,103.8,0.266227,-485.129,-10.3062,59.6,0.897471
2011-07-20,595.35,0.0019,500,97.8,0.299707,-468.245,-11.2236,53.6,-0.917363
2011-07-21,606.99,0.002,500,108.15,0.275665,-487.875,-10.7295,63.95,0.494077
2011-07-22,618.23,0.002,500,118.7,0.24842,-501.319,-10.4451,74.5,0.284388
2011-07-25,618.98,0.002,500,119.95,0.294242,-492.404,-10.9596,75.75,-0.51448
2011-07-26,622.52,0.0021,500,123.25,0.286969,-496.761,-10.8241,79.05,0.135517
2011-07-27,607.22,0.0021,500,108.65,0.304804,-484.08,-11.2006,64.45,-0.37645
2011-07-28,610.94,0.0021,500,112.1,0.302651,-488.535,-11.092,67.9,0.108578
2011-07-29,603.69,0.002,500,106.8,0.370045,-464.23,-12.7921,62.6,-1.70016


The mean of Hedging Error is : -0.67327
The standard deviation of Hedging Error is : 2.27845

 Number within 2 standard deviation: 100
